"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"312825 Guaraciama",0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"312830 Guaranésia",0,1,1,0,0,1,2,1,1,2,4,12,5,5,17,9,5,7,13,3,1,3,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
"312840 Guarani",0,0,1,2,2,2,9,7,4,5,11,5,15,13,12,7,14,9,11,7,13,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155
"312850 Guarará",0,1,5,0,5,0,0,7,6,7,14,9,9,16,18,6,10,8,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
"312860 Guarda-Mor",1,1,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"312870 Guaxupé",10,7,13,29,42,46,48,50,85,82,156,190,154,214,243,161,189,254,181,123,88,47,58,33,20,11,8,7,6,0,3,1,2,4,3,5,0,3,2,5,6,0,2589
"312880 Guidoval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
"312890 Guimarânia",0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"312900 Guiricema",0,0,1,2,3,3,5,6,4,1,1,0,2,0,1,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,3,48
"312910 Gurinhatã",1,0,0,4,2,2,2,0,2,4,3,2,6,4,0,0,0,1,3,0,5,0,0,2,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,48
"312920 Heliodora",0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,6,1,5,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"312930 Iapu",2,2,4,0,4,3,4,1,2,2,3,4,0,5,2,1,1,4,1,1,2,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58
"312940 Ibertioga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"312950 Ibiá",0,0,0,1,2,1,1,1,1,0,1,4,2,3,3,2,3,3,1,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,37
"312960 Ibiaí",0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,1,1,2,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19
"312965 Ibiracatu",0,2,0,2,0,1,2,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
